category,name,description,base_price,image_filename,modifiers
The Mob,The Bambino,"spicy feta spread, burnt lemon grilled chicken, tomato, bacon, pistachio pesto, roasted garlic aioli, goat cheese",20.4,thebambino.jpg,
The Mob,The Barber,"pistachio spread, layers of mortadella, provolone, crushed pistachio, balsamic glaze, honey, pistachio pesto, arugula, served on focaccia",20.4,thebarber.jpg,
The Mob,The Bear,layers of rib and cheddar with horseradish and horseradish aioli served with gravy to dunk in,22.8,thebear.jpg,
The Mob,The Butcher,"chicken cutlet, pistachio pesto, fried mortadella, roasted peppers, balsamic glaze, provolone, hot honey, served on focaccia",20.4,thebutcher.jpg,
The Mob,The Capone,in house pulled pork / smokey bbq / roasted garlic aioli / dusted onion / horseradish aioli / garlic butter focaccia,20.4,thecapone.jpg,
The Mob,The Chooch,"tomato, red onion, smoked ham, cucumber, panino sauce, mayo, cheese, shredded iceberg lettuce",19.2,thechooch.jpg,
The Mob,The CLEMENZA,"brie cheese, goat cheese, swiss, cheddar, fried onion, balsamic glaze, served with marinara",19.2,theclemenza.jpg,
The Mob,The Made Man,"meatballs, smoked ham, pepperoni, mozzarella, white onion, pizza sauce, and served with marinara on the side",20,themademan.jpg,
The Mob,The Napolean,"smoked ham, chicken cutled, roasted garlic sauce, cheese (a cordon bleu in-between focaccia)",19.2,thenapolean.jpg,
The Mob,The Paisano,"grilled chicken, pepperoni, provolone, marinara, parmesan. served on a toasted hoagie",20,thepaisano.jpg,
The Mob,The Rothstein,Layers of corned beef / mustard / toasted focaccia,20.4,therothstein.jpg,
The Mob,VIRGIN MARY,"VEGETARIAN: fried zucchini, caramelized peppers and onions, goat cheese, arugula, balsamic glaze, pistachio pesto, baba ganoush, lemon whipped ricotta",16.8,virginmary.jpg,
Al's Wraps,Beethoven Wrap,"buffalo crispy chicken, tomato, bacon, shaved cheddar, iceberg lettuce, ranch, hot sauce",20.4,beethoven.jpg,
Al's Wraps,The Blanco Wrap,classic chicken caesar wrap,19.2,blanco.jpg,
Al's Wraps,Uncle Sal Wrap,"grilled chicken, pistachio pesto, balsamic glaze, goat cheese, arugula, bacon, roasted peppers and spicy spread",20.4,unclesal.jpg,
Sides,Al's Tiramisu,Authentic tiramisu,10,tiramisu.jpg,
Sides,Al's Toasted Coconut Cheesecake,Toasted coconut cheesecake,10,,
Sides,Caesar Salad,Classic caesar salad with loads of parmesan reggiano and bacon,17.2,caesarsalad.jpg,
Sides,Fries,French fries,7.2,fries.jpg,
Sides,Fries N Gravy,French fries and gravy,11,,
Sides,Greek Fries,"tomato, onion, cucumber, tzatziki, burnt lemon, feta, oregano",17,greekfries.jpg,
Sides,Greek Salad,classic greek salad,16,greeksalad.jpg,
Sides,Philly Fries,"rib eye steak, cheese sauce or provolone, sauteed onion",17.8,phillyfries.jpg,
Sides,Pulled Pork Fries,"pulled pork, crispy onion, horseradish aioli, bbq sauce, cheese sauce",17.8,pulledfries.jpg,
