category,name,description,base_price,image_filename,modifiers
The Mob,The Balboa,Classic Philly Cheesesteak,21.6,balboa.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 9, ""options"": [{""name"": ""No Onion"", ""price_adjustment"": 0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""Extra Cheese"", ""price_adjustment"": 3.0}, {""name"": ""Extra Rib Eye"", ""price_adjustment"": 9.0}, {""name"": ""Cheese Sauce"", ""price_adjustment"": 0}, {""name"": ""Add Bacon"", ""price_adjustment"": 3.0}, {""name"": ""Spicy"", ""price_adjustment"": 0}, {""name"": ""Sub Cheese Sauce For Mozzarella"", ""price_adjustment"": 0}, {""name"": ""Sub For Provolone Cheese"", ""price_adjustment"": 3.0}]}]"
The Mob,The Bambino,"Spicy Feta Spread, Burnt Lemon Grilled Chicken, Tomato, Bacon, Pistachio Pesto, Roasted Garlic Aioli, Goat Cheese",20.4,bambino.jpg,
The Mob,The Barber,"Pistachio Spread, Layers Of Mortadella, Provolone, Crushed Pistachio, Balsamic Glaze, Honey, Pistachio Pesto, Arugula, Served On Focaccia",20.4,barber.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 7, ""options"": [{""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""No Pistachio Spread"", ""price_adjustment"": 0}, {""name"": ""No Arugula"", ""price_adjustment"": 0}, {""name"": ""No Honey"", ""price_adjustment"": 0}, {""name"": ""Extra Provolone"", ""price_adjustment"": 2.0}, {""name"": ""Extra Mortadella"", ""price_adjustment"": 4.0}, {""name"": ""Make It Spicy"", ""price_adjustment"": 0}]}]"
The Mob,The Bear,Layers Of Rib And Cheddar With Horseradish And Horseradish Aioli Served With Gravy To Dunk In,22.8,bear.jpg,
The Mob,The Butcher,"Chicken Cutlet, Pistachio Pesto, Fried Mortadella, Roasted Peppers, Balsamic Glaze, Provolone, Hot Honey, Served On Focaccia",20.4,butcher.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 5, ""options"": [{""name"": ""Extra Provolone"", ""price_adjustment"": 2.0}, {""name"": ""Extra Mortadella"", ""price_adjustment"": 4.0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""No Pesto"", ""price_adjustment"": 0}, {""name"": ""No Roasted Peppers"", ""price_adjustment"": 0}]}]"
The Mob,The Capone,In House Pulled Pork / Smokey Bbq / Roasted Garlic Aioli / Dusted Onion / Horseradish Aioli / Garlic Butter Focaccia,20.4,capone.jpg,
The Mob,The Chooch,"Tomato, Red Onion, Smoked Ham, Cucumber, Panino Sauce, Mayo, Cheese, Shredded Iceberg Lettuce",19.2,chooch.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 10, ""options"": [{""name"": ""No Cucumber"", ""price_adjustment"": 0}, {""name"": ""No Tomato"", ""price_adjustment"": 0}, {""name"": ""No Red Onion"", ""price_adjustment"": 0}, {""name"": ""No Paninos Sauce"", ""price_adjustment"": 0}, {""name"": ""No Seasoning"", ""price_adjustment"": 0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""Extra Cheese"", ""price_adjustment"": 3.0}, {""name"": ""Add Bacon"", ""price_adjustment"": 3.0}, {""name"": ""Add Pickle"", ""price_adjustment"": 1.0}, {""name"": ""Make It Spicy"", ""price_adjustment"": 0}]}]"
The Mob,The CLEMENZA,"Brie Cheese, Goat Cheese, Swiss, Cheddar, Fried Onion, Balsamic Glaze, Served With Marinara",19.2,clemenza.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 12, ""options"": [{""name"": ""No Goat Cheese"", ""price_adjustment"": 0}, {""name"": ""No Cheddar"", ""price_adjustment"": 0}, {""name"": ""No Brie"", ""price_adjustment"": 0}, {""name"": ""No Caramelized Onion"", ""price_adjustment"": 0}, {""name"": ""No Balsamic Reduction"", ""price_adjustment"": 0}, {""name"": ""No Marinara"", ""price_adjustment"": 0}, {""name"": ""Extra Marinara"", ""price_adjustment"": 2.0}, {""name"": ""Extra Goat Cheese"", ""price_adjustment"": 2.0}, {""name"": ""Extra Cheddar"", ""price_adjustment"": 2.0}, {""name"": ""Extra Brie"", ""price_adjustment"": 2.0}, {""name"": ""Add Chicken"", ""price_adjustment"": 5.0}, {""name"": ""Add Bacon"", ""price_adjustment"": 3.0}]}]"
The Mob,The Made Man,"Meatballs, Smoked Ham, Pepperoni, Mozzarella, White Onion, Pizza Sauce, And Served With Marinara On The Side",20,mademan.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 11, ""options"": [{""name"": ""No Onion"", ""price_adjustment"": 0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""No Marinara"", ""price_adjustment"": 0}, {""name"": ""Extra Side Of Marinara"", ""price_adjustment"": 3.0}, {""name"": ""Extra Mozzarella"", ""price_adjustment"": 3.0}, {""name"": ""Sub For Provolone Cheese"", ""price_adjustment"": 3.0}, {""name"": ""Extra Meatball"", ""price_adjustment"": 4.0}, {""name"": ""No Meatball"", ""price_adjustment"": 0}, {""name"": ""Extra Pepperoni"", ""price_adjustment"": 3.0}, {""name"": ""Extra Ham"", ""price_adjustment"": 4.0}, {""name"": ""No Ham"", ""price_adjustment"": 0}]}]"
The Mob,The Napolean,"Smoked Ham, Chicken Cutled, Roasted Garlic Sauce, Cheese (A Cordon Bleu In-Between Focaccia)",19.2,napolean.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 6, ""options"": [{""name"": ""No Ham"", ""price_adjustment"": 0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""No Sauce"", ""price_adjustment"": 0}, {""name"": ""Extra Cheese"", ""price_adjustment"": 3.0}, {""name"": ""Add Bacon"", ""price_adjustment"": 3.0}, {""name"": ""Make It Spicy"", ""price_adjustment"": 0}]}]"
The Mob,The Paisano,"Grilled Chicken, Pepperoni, Provolone, Marinara, Parmesan. Served On A Toasted Hoagie",20,paisano.jpg,"[{""name"": ""Options"", ""is_required"": false, ""min_selections"": 0, ""max_selections"": 10, ""options"": [{""name"": ""Extra Grilled Chicken"", ""price_adjustment"": 6.0}, {""name"": ""Sub Crispy Chicken"", ""price_adjustment"": 0}, {""name"": ""Extra Pepperoni"", ""price_adjustment"": 3.0}, {""name"": ""Extra Provolone"", ""price_adjustment"": 2.0}, {""name"": ""No Provolone"", ""price_adjustment"": 0}, {""name"": ""No Cheese"", ""price_adjustment"": 0}, {""name"": ""No Parmesan"", ""price_adjustment"": 0}, {""name"": ""Extra Parmesan"", ""price_adjustment"": 3.0}, {""name"": ""Side Hot Sauce"", ""price_adjustment"": 2.4}, {""name"": ""Extra Side Of Marinara"", ""price_adjustment"": 3.0}]}]"
The Mob,The Rothstein,Layers Of Corned Beef / Mustard / Toasted Focaccia,20.4,rothstein.jpg,
